sku,imageKeywords
10119736,"baby knit;""blue sweater"";""knitting pattern"";""cable knit"";""baby cardigan"";""hooded sweater"";""raglan sleeves"";""buttoned sweater"";""textured knit"";""infant"";""handmade"";""gift"";""soft yarn"";""classic design"";""long sleeves"";""baby clothes"";""garment set"";""light blue"";""knitwear"";""cozy"";""bumpy stitch"";""craft project"";""home-made"";""skill level: intermediate"""
10119742,"baby cardigan;""knitted cardigan"";""knitting pattern"";""button-up"";""lace design"";""pink"";""long sleeves"";""round neckline"";""baby clothing"";""handmade garment"";""bow detail"";""lightweight"";""delicate pattern"""
10119744,"knitting;""crochet"";""baby cardigan"";""toddler cardigan"";""colorful cardigan"";""pastel colors"";""purple cardigan"";""green cardigan"";""orange cardigan"";""pink cardigan"";""floral embellishments"";""embroidery"";""long sleeves"";""patterned sleeves"";""button-up"";""handmade"";""textured"";""vibrant"";""creative"";""knitwear"";""children's clothing"";""spring clothing"";""fall clothing"";""cozy"";""warm"""
10120466,"baby cardigan;""vest"";""double knit"";""ribbed sleeve"";""button-up"";""cable knit"";""striped shirt"";""classic style"";""knitting pattern"";""long sleeve"";""v-neck"";""layered look"";""toddler fashion"";""handmade clothing"";""baby wear"";""textured knitting"";""warm clothing"";""winter wear"";""baby boy clothes"";""chunky knit"";""cozy"""
10120496,"baby sweater;""hooded sweater"";""cardigan"";""cable knit"";""patterned knit"";""buttoned"";""textured"";""chunky yarn"";""long sleeves"";""toddler clothing"";""handmade"";""knitting pattern"";""beige sweater"";""cream sweater"";""baby jacket"";""infant apparel"";""knitwear"";""winter clothing"";""fall fashion"""
10120708,"knitted cardigan;""cable knit"";""button-up cardigan"";""long sleeves"";""v-neck"";""pink"";""women's clothing"";""knitwear"";""casual style"";""outdoor photoshoot"";""fall fashion"";""winter fashion"";""soft texture"";""comfy cardigan"";""front pockets"";""warm garment"";""layered outfit"";""knit pattern"";""pattern includes larger sizes"""
10120716,"knitting;""crochet"";""pattern"";""garment"";""model wearing"";""cardigan"";""sweater"";""cable knit"";""chunky yarn"";""long sleeve"";""open front"";""casual wear"";""winter wear"";""pale pink"";""light blue"";""contrast edging"";""outdoor setting"";""female model"";""texture"";""cozy"";""soft"";""stylish"";""DIY fashion"";""easy pattern"";""comfy fit"""
10120764,"knitted sweater;""cabled design"";""long sleeves"";""crew neck"";""textured pattern"";""unisex"";""chunky yarn"";""winter garment"";""casual wear"";""handmade"";""raglan sleeves"";""stitch pattern"";""outdoor wear"";""fitted"";""warm"";""knit pattern"";""knitwear"";""cozy"";""classic style"";""patterned sweater"""
10120778,"knitted cardigan;""men's wear"";""cable knit"";""button-up"";""v-neck"";""long sleeves"";""textured knit"";""outdoor sweater"";""casual wear"";""knit project"";""chunky knit"";""gray cardigan"""
10130993,"knitted shawl;""triangle shawl"";""lace pattern"";""brown shawl"";""openwork"";""delicate design"";""accessory"";""lightweight"";""women's fashion"";""handmade"";""intricate"";""casual wear"";""fall fashion"";""vintage style"";""wrap"";""elegant"";""versatile"";""bohemian style"";""layering accessory"""
10132320,"knitted;""baby cardigan"";""long-sleeve"";""buttoned"";""pastel color"";""lacy yoke"";""ribbed cuffs"";""crew neck"";""handmade"";""textured pattern"";""simple design"";""cozy"";""warm"";""lightweight"";""soft yarn"";""beginner-friendly"";""spring"";""fall"";""casual"";""gift"";""unisex"";""classic cardigan"""
10138173,"crochet;""pattern"";""short sleeves"";""lacy"";""blue"";""top"";""summer"";""loose fit"";""woman"";""bohemian"";""lightweight"";""scallop hem"";""open weave"";""crochet top"";""knitting project"";""casual wear"";""DIY fashion"";""handmade garment"""
10138285,"baby blanket;""pink"";""crocheted"";""lace pattern"";""soft"";""gift"";""nursery"";""toy"";""stuffed animal"";""cute"";""delicate"";""textured"";""warm"";""cozy"";""handmade"";""baby shower gift"";""decorative"";""classic"";""cozy blanket"";""blanket for baby"""
10138667,"hat;""beanie"";""knitted hat"";""crocheted hat"";""blue hat"";""multicolor hat"";""striped hat"";""handmade hat"";""winter accessory"";""warm headwear"";""simple design"";""beginner-friendly"";""intermediate pattern"";""cozy hat"";""textured hat"";""two-tone"";""unisex"";""soft yarn"";""easy pattern"";""basic hat"";""handcrafted"";""DIY project"""
10138717,"crochet;""blanket"";""afghan"";""home decor"";""cozy"";""soft texture"";""patterned"";""basic stitch"";""coral color"";""openwork"";""lightweight"";""handmade"";""drape"";""throw"";""decorative"";""beginner-friendly"";""easy project"""
10138739,"knitted cardigan;""crochet cardigan"";""yellow cardigan"";""button-up cardigan"";""long sleeve cardigan"";""ribbed cuffs"";""ribbed hem"";""handmade sweater"";""crochet pattern"";""knitting pattern"";""cozy sweater"";""warm garment"";""casual wear"";""autumn clothing"";""cozy knitwear"";""women's cardigan"";""chunky knit"";""textured fabric"""
10140002,"crochet;""garden garland"";""flower garland"";""floral patterns"";""yarn decoration"";""handmade garland"";""colorful crochet"";""crocheted flowers"";""home decor"";""crochet string"";""garland pattern"";""DIY project"";""handcrafted"";""spring decor"";""summer decor"";""crafting"";""crochet inspiration"";""beginner-friendly"";""vibrant colors"";""crochet tutorial"""
10141450,"baby;""knit"";""knitting pattern"";""easy knit"";""baby sleeping bag"";""striped"";""multicolor"";""pastel colors"";""button details"";""sleeveless"";""infant"";""cozy"";""warm"";""baby garment"";""beginner friendly"";""DIY craft"";""vintage"";""soft yarn"";""comfortable"";""knitted outfit"";""knitting project"";""baby wear"";""seasonal"";""cute"";""tutorial"";""step-by-step instructions"""
10145757,"baby sweater;""knit baby sweater"";""grey sweater"";""knit pullover"";""textured knit"";""long sleeve sweater"";""children's knitwear"";""handmade sweater"";""baby clothing"";""toddler sweater"";""basketweave pattern"";""soft yarn"";""comfortable knit"";""baby fashion"";""knitted hoodie"";""striped hoodie"";""blue hoodie"";""casual kidswear"";""cozy knitwear"";""layering piece"""
10145879,"family;""cabled"";""pullover"";""children"";""adults"";""hooded"";""crewneck"";""v-neck"";""aran"";""knitwear"";""sweater"";""textured"";""knitting pattern"";""warm"";""cozy"";""outdoor"";""group"";""fashionable"";""contrasting colors"";""everyday wear"""
10150478,"baby cardigan;""baby hat"";""baby blanket"";""baby booties"";""pink knit set"";""baby clothing set"";""knitted cardigan"";""knitted hat"";""knitted blanket"";""knitted booties"";""heart pattern"";""lace hearts"";""delicate knit"";""matching set"";""cozy baby clothes"";""baby shower gift"";""handmade baby clothes"";""newborn outfit"";""soft yarn"";""pastel knitting"";""infant wear"";""knitwear"";""cotton knit"";""baby accessories"";""pink"";""button-up cardigan"";""ribbed trim"";""long-sleeve"";""intermediate skill level"";""gifting set"""
10150480,"zigzag;""baby set"";""knitted pattern"";""baby cardigan"";""baby hat"";""baby blanket"";""baby booties"";""button-up cardigan"";""textured pattern"";""diamond pattern"";""blue"";""coordinated set"";""infant apparel"";""cabled design"";""soft yarn"";""classic style"";""handmade"";""gift set"";""nursery"";""cozy"";""warm"";""layered outfit"";""spring"";""fall"";""newborn essential"";""baby clothing"";""knitwear"""
10150482,"baby blanket;""crochet"";""teddy bear theme"";""stuffed toy"";""blue"";""yellow background"";""gift for baby"";""security blanket"";""amigurumi"";""crochet blanket"";""handmade toy"";""nursery item"";""baby accessory"";""comfort object"";""infant gift"""
10150484,"baby blanket;""knitted toy"";""snuggle bunny"";""crochet blanket"";""animal theme"";""baby accessory"";""soft toy"";""gray and white"";""crochet pattern"";""baby gift"";""granny square"";""bunny design"";""handmade toy"""
10151963,"knitted sweater;""turtleneck"";""cable knit"";""long sleeves"";""yellow"";""woman model"";""outdoor photoshoot"";""cozy"";""fall fashion"";""thick yarn"";""textured pattern"";""winter garment"";""classic style"";""comfortable"";""casual wear"";""knitwear project"";""warm"";""handmade"";""detailed design"";""fashionable"""
10156985,"crochet;""tote bag"";""granny squares"";""geometric pattern"";""blue tones"";""handmade"";""accessory"";""bag"";""patchwork"";""colorful"";""casual style"";""modern design"""
10157895,"cardigan;""knit pattern"";""buttoned"";""V-neck"";""cable stitch"";""long-sleeve"";""outdoor"";""fall fashion"";""winter wear"";""textured"";""wool"";""men's cardigan"";""women's cardigan"";""casual"";""striped shirt"";""relaxed fit"";""classic style"";""layering"";""handmade"";""DIY project"""
10169057,"knitted cardigan;""cable knit"";""blue cardigan"";""button-up cardigan"";""long sleeve cardigan"";""winter wear"";""casual style"";""chunky knit"";""women's fashion"";""outerwear"";""turquoise cardigan"";""knitted hat"";""beanie"";""matching set"";""cozy wear"";""layering piece"";""fashionable knitwear"";""accessories set"""
10170067,"knitted top;""sweater"";""short-sleeve"";""cable knit"";""round neck"";""fitted"";""women's clothing"";""casual wear"";""handmade"";""red sweater"";""summer knit"";""textured pattern"";""ribbed hem"";""cropped length"";""knitting pattern"";""fashion knitwear"""
10170788,"white sweater;""knit top"";""short-sleeve"";""summer knitwear"";""V-neck sweater"";""lace sleeves"";""lightweight knit"";""women's clothing"";""casual wear"";""handmade garment"";""striped pants"";""ethnic model"";""fashion"";""comfortable"";""chic"";""simple design"";""elegant knit"";""minimalist style"";""everyday wear"";""airy sweater"""
10173554,"crochet top;""colorful"";""striped"";""sleeveless"";""bohemian"";""handmade"";""festival style"";""crochet squares"";""multicolor"";""square neck"";""summer wear"";""boho chic"";""rainbow colors"";""women's fashion"";""casual"";""crocheted flowers"";""short sleeve"""
10173558,"baby;""cardigan"";""hat"";""knitted"";""gray"";""yellow"";""pom-pom"";""long-sleeve"";""infant"";""outfit"";""cute"";""garment"";""crochet"";""comfort"";""handmade"";""warm"";""cozy"";""soft"";""stylish"";""adorable"";""newborn"";""winter attire"";""baby outfit"";""hat with pom-pom"";""striped mattress"";""simple design"";""two-piece set"""
10174470,"baby booties;""knitted booties"";""knitting pattern"";""baby shoes"";""handmade baby footwear"";""blue booties"";""baby accessories"";""ribbed cuff"";""easy knitting"";""cozy booties"";""newborn booties"";""infant shoes"";""garter stitch"";""soft yarn"";""beginner-friendly pattern"""
10175526,"knitting;""crochet"";""blanket"";""throw"";""purple blanket"";""woven pattern"";""home decor"";""cozy"";""knitted blanket"";""living room"";""handmade"";""craft"";""DIY project"";""textured"";""soft"";""warm"";""interior design"";""decorative"";""chunky knit"";""modern style"""
10175528,"baby blanket;""crochet blanket"";""knitted blanket"";""textured blanket"";""white blanket"";""chunky crochet"";""home decor"";""baby shower gift"";""soft blanket"";""cozy blanket"";""nursery decor"";""handmade blanket"";""crochet pattern"";""beginner-friendly"";""couch throw"";""play mat"";""DIY baby blanket"";""quick project"";""gift idea"""
10175536,"knitted;""blanket"";""throw"";""cable knit"";""chunky yarn"";""home decor"";""blue"";""lattice pattern"";""cozy"";""warm"";""living room accessory"";""handmade"";""DIY project"";""thick texture"";""plush"""
10176796,"knitting;""crochet pattern"";""cardigan"";""sweater"";""long sleeve"";""short sleeve"";""button-up"";""yoke"";""lace detail"";""textured"";""baby clothes"";""child clothing"";""adult clothing"";""mother and daughter"";""matching outfits"";""cotton yarn"";""layering"";""handmade"";""craft"";""DIY fashion"";""knitwear"";""wardrobe"";""fashion"";""tops"";""cozy"";""seasonal"";""pattern""; ""easy to knit"""
10176798,"knitting;""pattern"";""baby cardigan"";""childrenswear"";""sweater"";""knitted cardigan"";""button-up"";""blue cardigan"";""green cardigan"";""long sleeve"";""toddler"";""infant"";""garment"";""casual"";""textured knit"";""cozy"";""handmade"";""layering"";""model not wearing"";""infant fashion"";""button details"""
10176900,"baby sweater;""toddler sweater"";""knitted sweater"";""pink sweater"";""long sleeves"";""crew neck"";""classic design"";""textured pattern"";""baby clothing"";""knitting pattern"";""handmade sweater"";""garter stitch"";""child's sweater"";""knitwear"";""cozy clothing"";""warm sweater"";""fashion for kids"";""soft texture"";""everyday wear"";""easy knit"""
10177612,"knit beanie;""knitting pattern"";""adult beanie"";""child beanie"";""colorful beanies"";""simple design"";""beginner-friendly"";""soft yarn"";""handmade hat"";""winter accessory"";""cozy hat"";""unisex beanie"";""solid colors"";""dome-shaped"";""fall fashion"";""easy knit"";""seamless construction"";""neutral colors"";""pastel yarn"";""DIY project"""
10180716,"baby cardigan;""knitted"";""handmade"";""white"";""long sleeves"";""button-up"";""ribbed texture"";""baby clothes"";""infant wear"";""cozy"";""soft fabric"";""neutral color"";""spring wear"";""fall wear"";""craft"";""classic design"";""simple style"";""comfortable"";""warm clothing"""
10181814,"knit;""crochet"";""mermaid tail blanket"";""blanket"";""cozy"";""shell stitch"";""ocean theme"";""baby blanket"";""adult blanket"";""tail"";""novelty blanket"";""DIY"";""handmade"";""multi-color"";""aqua"";""blue"";""orange"";""white"";""baby"";""child"";""adult"";""easy pattern"";""playful"";""fantasy theme"";""gift idea"";""home décor"";""fashion"";""unique"";""comfortable"""
10182478,"cardigan;""striped"";""knitted"";""long-sleeve"";""pockets"";""casual"";""neutral colors"";""women's clothing"";""cozy"";""easy knit"";""larger sizes"";""layering piece"";""autumn fashion"";""soft yarn"";""open front"";""warm"";""classic style"";""comfortable"";""versatile"""
10182578,"knitted cardigan;""v-neck cardigan"";""button-down cardigan"";""raglan sleeve"";""easy knit"";""women's cardigan"";""green cardigan"";""pockets"";""long-sleeve"";""cozy"";""textured knit"";""casual wear"";""fall fashion"";""winter wear"";""handmade"";""knitwear"";""classic style"";""adult size"""
10182762,"cardigan;""sweater"";""knitted"";""button-up"";""raglan sleeve"";""long sleeve"";""layered look"";""textured knit"";""spring fashion"";""casual wear"";""elegant"";""lightweight"";""white"";""green"";""two-tone"";""lace pattern"";""feminine"";""cozy"";""versatile"";""larger sizes"""
10183087,"knitted vest;""crochet pattern"";""open front vest"";""buttoned vest"";""sleeveless garment"";""light blue vest"";""spring fashion"";""layering piece"";""textured knit"";""handmade clothing"";""women's fashion"";""outdoor wear"";""vintage style"";""casual wear"";""DIY knitting project"";""intermediate knitting pattern"";""versatile garment"";""chunky knit"";""fashion accessory"";""cozy wear"""
10183227,"baby cardigan;""baby hat"";""knitted cardigan"";""knitted hat"";""children's clothing"";""green cardigan"";""green hat"";""button-up cardigan"";""long sleeves"";""ribbed pattern"";""chunky knit"";""knitwear"";""handmade"";""craft project"";""infant wear"";""toddlers wear"";""white sleeves"";""comfy fit"";""soft yarn"""
10183247,"knitted sweater;""baby cardigan"";""green cardigan"";""button-up sweater"";""cable knit"";""baby clothing"";""handmade knitwear"";""knit blanket"";""white blanket"";""basket weave pattern"";""baby hat"";""white beanie"";""crochet hat"";""soft toy"";""stuffed animal"";""infant clothing"";""woolen clothing"";""cozy knit"";""casual knitwear"""
10183257,"knitted cardigan;""child's garment"";""openwork pattern"";""buttoned"";""long sleeves"";""crochet design"";""bright green"";""spring/summer wear"";""round neckline"";""casual style"";""kids clothing"";""layering piece"";""pocketed"";""textured fabric"";""DIY project"";""handmade fashion"""
10183555,"knitted vest;""sleeveless sweater"";""crew neck"";""women's apparel"";""easy knit"";""beige color"";""ribbed hem"";""casual style"";""handmade clothing"";""layered look"";""knitting pattern"";""beginner friendly"";""simple design"";""basic top"";""chunky necklace"";""fall fashion"""
10183601,"knitted vest;""woman"";""blue"";""sleeveless"";""pullover"";""handmade"";""casual"";""textured"";""knitwear"";""cabled pattern"";""crew neck"";""layered"";""cozy"";""fall fashion"";""DIY project"";""warm"";""comfortable"";""fashion"";""craft"";""easy pattern"";""relaxed fit"""
10183621,"sweater;""cardigan"";""knitted"";""easy knit"";""girl's clothing"";""long sleeves"";""striped pattern"";""button-up"";""round neck"";""casual"";""cozy"";""multi-colored"";""pink"";""gray"";""white"";""lightweight"";""comfortable"";""everyday wear"";""fall clothing"";""winter clothing"""
10183699,"sweater;""cardigan"";""knitted"";""female model"";""long-sleeve"";""v-neck"";""lace trim"";""beige"";""light color"";""buttonless"";""seamed construction"";""casual"";""soft fabric"";""knee-length skirt"";""layered outfit"";""versatile"";""classic style"";""comfortable"";""everyday wear"";""patterned skirt"""
10183869,"knitted top;""short-sleeve"";""boat neck"";""scoop neck"";""purple garment"";""elegant style"";""simple design"";""handmade fashion"";""women's clothing"";""casual wear"";""knitting pattern"";""cropped top"";""lightweight top"";""summer clothing"";""soft yarn"";""DIY fashion"";""craft project"";""easy knitting project"";""textured hem"";""versatile garment"""
10184001,"striped;""jumper"";""sweater"";""long-sleeve"";""boat neck"";""multi-color"";""women's"";""casual"";""cozy"";""knit"";""pullover"""
10184003,"knitted;""cardigan"";""belted cardigan"";""white"";""striped"";""long sleeves"";""lightweight"";""casual"";""open front"";""women's clothing"";""comfortable"";""layering"";""textured"";""cozy"";""DIY fashion"";""winter wear"";""fall fashion"""
10190843,"sweater;""knitted"";""garment"";""long sleeves"";""lace pattern"";""lightweight"";""casual style"";""crew neck"";""women's fashion"";""handmade"";""delicate"";""textured knitting"";""fall clothing"";""winter clothing"""
10190859,"knitting;""crochet"";""summer top"";""tank top"";""casual wear"";""sleeveless"";""women's garment"";""round neck"";""textured fabric"";""short length"";""easy pattern"";""fitted design"";""simple style"";""model wearing garment"";""outdoor setting"";""Debbie Bliss"";""minimalist"";""blue top"";""knitted fabric"""
10193249,"knitted sweater;""ribbed sweater"";""long sleeve"";""crew neck"";""neutral color"";""women's clothing"";""casual wear"";""cozy"";""simple design"";""crochet pattern"";""handmade"";""DIY fashion"";""knitwear"";""fall fashion"";""winter fashion"";""soft texture"""
10205304,"knitted sweater;""cable knit"";""raglan sleeve"";""women's sweater"";""long sleeve sweater"";""chunky knit"";""casual wear"";""winter clothing"";""fall fashion"";""handmade garment"";""knitting pattern"";""wool sweater"";""cream color"";""textured knit"";""crew neck sweater"";""warm sweater"""
10206867,"knit;""baby cardigan"";""yellow"";""long sleeve"";""buttoned"";""pattern"";""children's clothing"";""snuggly"";""soft"";""warm"";""Sirdar"";""simple"";""versatile"";""classic"";""comfortable"";""baby clothing"";""project"";""cozy"""
10208694,"sweater;""knitted"";""long sleeve"";""round neck"";""green"";""women's clothing"";""fall fashion"";""simple design"";""minimalist style"";""casual wear"";""soft material"";""comfortable"";""chic"";""classic fit"";""handmade"";""Kim Hargreaves"";""pattern name Myth"""
10208696,"short sleeve;""knitted top"";""lace pattern"";""summer garment"";""round neckline"";""beachwear"";""casual style"";""light pink"";""women's clothing"";""pullover"";""delicate knit"";""cropped length"";""breathable fabric"""
10212872,"baby sweater;""striped sweater"";""hooded sweater"";""knitwear"";""wool sweater"";""buttoned sweater"";""cozy baby clothes"";""adorable baby fashion"";""two-tone sweater"";""beige and grey"";""knit hood"";""long sleeve"";""soft yarn"";""winter baby clothes"";""patterned knit"";""handmade baby garment"";""classic baby sweater"";""winter wear"";""toddler knitwear"";""baby fashion"";""comfort wear"";""whimsical design"";""cute baby outfit"";""chunky knit"""
10214837,"knitted sweater;""sweater"";""easy slip-on"";""easy sweater"";""cropped sweater"";""three-quarter sleeves"";""boat neck sweater"";""loose fit"";""casual wear"";""simple design"";""beginner pattern"";""light color"";""spring fashion"";""fall fashion"""
10220551,"baby sweater;""striped sweater"";""knit sweater"";""knitting pattern"";""long sleeves"";""buttoned shoulder"";""round neck"";""ribbed cuffs"";""children's clothing"";""fall fashion"";""winter fashion"";""casual wear"";""warm clothing"""
10245224,"knitted jacket;""blue cardigan"";""textured knit"";""women's fashion"";""buttonless jacket"";""modern style"";""crew neck"";""long sleeve"";""open front"";""geometric patterns"";""cozy garment"";""layering piece"";""handmade clothing"";""fall fashion"";""casual wear"";""crochet look"";""knit pattern"";""wool garment"";""soft fabric"""
10288689,"crochet;""baby blanket"";""carousel"";""stripes"";""multicolored"";""soft yarn"";""Bo Peep yarn"";""luxury baby"";""striped pattern"";""chair display"";""rainbow colors"";""warm""; ""cozy""; ""baby project""; ""home decor"""
10290094,"crochet;""flower"";""floral"";""pattern"";""design"";""bouquet"";""colorful"";""handmade"";""craft"";""art"";""DIY"";""knitting"";""garden"";""botanical"";""textured"";""decorative"";""multi-color"";""3D crochet"";""nature"";""creative"";""floral arrangement"";""leaf"";""rose"";""blossom"";""petals"";""intricate"";""spring"";""summer"";""home decor"";""gift idea"""
10291136,"crochet;""shawl"";""lightweight"";""openwork"";""lace"";""summer"";""beige"";""cover-up"";""bohemian"";""boho"";""delicate"";""accessory"";""handmade"";""intricate pattern"";""casual"";""feminine"";""elegant"";""textured"";""layering"";""draped"";""warm weather"""
10292795,"cardigan;""knitted"";""cable knit"";""long-sleeve"";""open front"";""casual"";""cozy"";""fall fashion"";""winter wear"";""gray"";""chunky knit"";""patterned knitting"";""fashion"";""women's clothing"";""outerwear"";""knitwear"";""soft"";""comfortable"";""everyday wear"";""layering"";""relaxed fit"""
10294241,"knitting;""crochet"";""pattern"";""guide"";""sock guide"";""sock pattern"";""basic sock"";""socks"";""4-ply yarn"";""6-ply yarn"";""cabled socks"";""knitted socks"";""handmade socks"";""blue socks"";""sock construction"";""cozy socks"";""warm socks"";""textured socks"""
10294428,"sweater;""knitted sweater"";""striped sweater"";""long-sleeve sweater"";""women's sweater"";""ombre sweater"";""gradient sweater"";""casual sweater"";""colorful sweater"";""tunic-length sweater"";""seamless sweater"";""round-neck sweater"";""layered outfit"";""patterned sweater"";""fall fashion"";""winter fashion"""
10301734,"crochet;""knitting"";""sweater"";""cable sweater"";""children's sweater"";""green sweater"";""long-sleeve sweater"";""crew neck sweater"";""outdoor clothing"";""winter wear"";""handmade"";""textured pattern"";""woolen garment"";""chunky knit"";""classic style"";""boys clothing"";""cozy knit"";""warm sweater"";""ssoft yarn"";""stylish knitwear"";""nature-inspired"";""casual"";""comfortable wear"";""green knit"";""rugged style"""
10304721,"cardigan;""knit"";""pattern"";""cable knit"";""button-up"";""long sleeves"";""round neck"";""neutral color"";""casual wear"";""handmade"";""women's garment"";""textured design"";""layering"";""fall fashion"";""DIY project"""
10313536,"knitted sweater;""long sleeve sweater"";""children's sweater"";""baby sweater"";""green sweater"";""red sweater"";""knitted cardigan"";""button-up cardigan"";""green cardigan"";""green hat"";""pom-pom hat"";""baby hat"";""knitted hat"";""gray hat"";""beanie"";""children's hat"";""baby crochet pattern"";""baby knitting pattern"";""clothing set"";""colorful garments"";""handmade baby clothes"";""infant wear"";""fall fashion"";""winter fashion"""
